Site ID;Name;Principal Investigator;Data Use Policy;AmeriFlux BASE Data;AmeriFlux FLUXNET Data;Vegetation Abbreviation (IGBP);Vegetation Description (IGBP);Climate Class Abbreviation (Koeppen);Climate Class Description (Koeppen);Mean Average Precipitation (mm);Mean Average Temperature (degrees C);Country;Latitude (degrees);Longitude (degrees);Elevation (m);Years of AmeriFlux BASE Data;AmeriFlux BASE DOI;Years of AmeriFlux FLUXNET Data;AmeriFlux FLUXNET DOI;Site Start;Site End;BASE variables available;FLUXNET variables available
US-ASH;USSL San Joaquin Valley Almond High Salinity;Ray G. Anderson (ray.anderson@usda.gov);CC-BY-4.0;Yes;No;DBF;Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.;Bwk;Desert: very cold winter;210;18.1;USA;36.1697;-120.2010;147;2016, 2017;https://doi.org/10.17190/AMF/1634880;;https://doi.org/;2016;;CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, NETRAD, PA, RH, SW_IN, TA, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, WD, WS;
US-ASL;USSL San Joaquin Valley Almond Low Salinity;Ray G. Anderson (ray.anderson@usda.gov);CC-BY-4.0;Yes;No;DBF;Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.;Bwk;Desert: very cold winter;311;16.7;USA;36.9466;-120.1024;78;2016, 2017;https://doi.org/10.17190/AMF/1617706;;https://doi.org/;2016;;CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, NETRAD, PA, RH, SW_IN, TA, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, WD, WS;
US-ASM;USSL San Joaquin Valley Almond Medium Salinity;Ray G. Anderson (ray.anderson@usda.gov);CC-BY-4.0;Yes;No;DBF;Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.;Bwk;Desert: very cold winter;210;18.1;USA;36.1777;-120.2026;147;2016, 2017;https://doi.org/10.17190/AMF/1617709;;https://doi.org/;2016;;CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, NETRAD, PA, RH, SW_IN, TA, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, WD, WS;
US-Bi1;Bouldin Island Alfalfa;Dennis Baldocchi (Baldocchi@berkeley.edu);CC-BY-4.0;Yes;Yes;CRO;Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.;Csa;Mediterranean: mild with dry, hot summer;338;16;USA;38.0992;-121.4993;-2.7;2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023;https://doi.org/10.17190/AMF/1480317;2016, 2017, 2018, 2019, 2020, 2021;https://doi.org/10.17190/AMF/1871134;2016;;CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, G, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NDVI, NETRAD, P, PA, PPFD_IN, PPFD_OUT, PRI, RECO, RH, SPEC_NIR_IN, SPEC_NIR_OUT, SPEC_PRI_REF_IN, SPEC_PRI_REF_OUT, SPEC_PRI_TGT_IN, SPEC_PRI_TGT_OUT, SPEC_RED_IN, SPEC_RED_OUT, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL;
US-Bi2;Bouldin Island corn;Dennis Baldocchi (baldocchi@berkeley.edu);CC-BY-4.0;Yes;Yes;CRO;Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.;Csa;Mediterranean: mild with dry, hot summer;338;16;USA;38.1091;-121.5351;-5;2017, 2018, 2019, 2020, 2021, 2022, 2023;https://doi.org/10.17190/AMF/1419513;2017, 2018, 2019, 2020, 2021;https://doi.org/10.17190/AMF/1871135;2017;;CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, G, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SPEC_NIR_IN, SPEC_NIR_OUT, SPEC_PRI_REF_IN, SPEC_PRI_REF_OUT, SPEC_PRI_TGT_IN, SPEC_PRI_TGT_OUT, SPEC_RED_IN, SPEC_RED_OUT, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL;
US-Blo;Blodgett Forest;Allen Goldstein (ahg@berkeley.edu);CC-BY-4.0;Yes;No;ENF;Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.;Csa;Mediterranean: mild with dry, hot summer;1226;11.09;USA;38.8953;-120.6328;1315;1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007;https://doi.org/10.17190/AMF/1246032;;https://doi.org/;1997;2006;FC, G, H, H2O, LE, NETRAD, P, PA, PPFD_IN, RH, TA, USTAR, VPD, WD, WS;
US-CGG;Concord Grazed Grassland;Patty Oikawa (Patty.oikawa@csueastbay.edu);CC-BY-4.0;Yes;No;GRA;Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.;Csa;Mediterranean: mild with dry, hot summer;419;16;USA;37.9380;-121.9761;119.5;2019, 2020, 2021, 2022;https://doi.org/10.17190/AMF/1987600;;https://doi.org/;2019;;CO2, FC, G, H, H2O, LE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, TA, TS, T_SONIC, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA;
US-CMW;Charleston Mesquite Woodland;Russell Scott (russ.scott@ars.usda.gov);CC-BY-4.0;Yes;No;DBF;Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.;Bsh;Steppe: very cold winter;288;17;USA;31.6637;-110.1777;1199;2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021;https://doi.org/10.17190/AMF/1660339;;https://doi.org/;2001;;CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, USTAR, WD, WS;
US-Dia;Diablo;Sonia Wharton (wharton4@llnl.gov);CC-BY-4.0;Yes;No;GRA;Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.;Csa;Mediterranean: mild with dry, hot summer;265;15.6;USA;37.6773;-121.5296;323;2010, 2011, 2012;https://doi.org/10.17190/AMF/1246146;;https://doi.org/;2010;2015;APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL;
US-Dmg;Dutch Slough Marsh Gilbert Tract;Dennis Baldocchi (baldocchi@berkeley.edu);CC-BY-4.0;Yes;No;WET;Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water;Csa;Mediterranean: mild with dry, hot summer;365;16.1;USA;38.0015;-121.6691;1;2021, 2022;https://doi.org/10.17190/AMF/1964086;;https://doi.org/;2021;;CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NDVI, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, PRI, RH, SPEC_NIR_IN, SPEC_NIR_OUT, SPEC_RED_IN, SPEC_RED_OUT, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL;
